name,last_name,first_name,display,position,proj
CHRISTIANMCCAFFREY,MCCAFFREY,CHRISTIAN,Christian McCaffrey,RB,338.093096532
CEEDEELAMB,LAMB,CEEDEE,CeeDee Lamb,WR,328.1646482750001
BREECEHALL,HALL,BREECE,Breece Hall,RB,287.24863234000003
TYREEKHILL,HILL,TYREEK,Tyreek Hill,WR,298.320436869
BIJANROBINSON,ROBINSON,BIJAN,Bijan Robinson,RB,284.10558567799995
JAMARRCHASE,CHASE,JAMARR,Ja'Marr Chase,WR,291.96472132
AMONRAST.BROWN,ST.BROWN,AMONRA,Amon-Ra St. Brown,WR,284.414266389
JUSTINJEFFERSON,JEFFERSON,JUSTIN,Justin Jefferson,WR,285.759096971
A.J.BROWN,BROWN,A.J.,A.J. Brown,WR,270.737480584
SAQUONBARKLEY,BARKLEY,SAQUON,Saquon Barkley,RB,252.68898701799998
JONATHANTAYLOR,TAYLOR,JONATHAN,Jonathan Taylor,RB,255.05329448400005
GARRETTWILSON,WILSON,GARRETT,Garrett Wilson,WR,251.667744212
PUKANACUA,NACUA,PUKA,Puka Nacua,WR,258.79817268000005
JAHMYRGIBBS,GIBBS,JAHMYR,Jahmyr Gibbs,RB,236.31810993599998
KYRENWILLIAMS,WILLIAMS,KYREN,Kyren Williams,RB,248.95722629600002
ISIAHPACHECO,PACHECO,ISIAH,Isiah Pacheco,RB,232.17910170800002
CHRISOLAVE,OLAVE,CHRIS,Chris Olave,WR,245.37594656800002
MIKEPITTMAN,PITTMAN,MIKE,Michael Pittman Jr.,WR,228.478189494
DAVANTEADAMS,ADAMS,DAVANTE,Davante Adams,WR,253.133545662
TRAVISETIENNE,ETIENNE,TRAVIS,Travis Etienne Jr.,RB,225.45756930199997
DERRICKHENRY,HENRY,DERRICK,Derrick Henry,RB,230.917135306
MARVINHARRISON,HARRISON,MARVIN,Marvin Harrison Jr.,WR,228.469751802
DRAKELONDON,LONDON,DRAKE,Drake London,WR,227.39892422200003
JOEMIXON,MIXON,JOE,Joe Mixon,RB,227.536514174
TRAVISKELCE,KELCE,TRAVIS,Travis Kelce,TE,208.65351404150002
JAMESCOOK,COOK,JAMES,James Cook,RB,222.024998404
NICOCOLLINS,COLLINS,NICO,Nico Collins,WR,227.756741252
MIKEEVANS,EVANS,MIKE,Mike Evans,WR,235.269160852
DEVONACHANE,ACHANE,DEVON,De'Von Achane,RB,209.746864366
SAMLAPORTA,LAPORTA,SAM,Sam LaPorta,TE,210.14571266
RACHAADWHITE,WHITE,RACHAAD,Rachaad White,RB,227.635292724
STEFONDIGGS,DIGGS,STEFON,Stefon Diggs,WR,224.858109688
DKMETCALF,METCALF,DK,DK Metcalf,WR,227.512783766
ALVINKAMARA,KAMARA,ALVIN,Alvin Kamara,RB,230.45878034400008
JOSHALLEN,ALLEN,JOSH,Josh Allen,QB,312.590252348
BRANDONAIYUK,AIYUK,BRANDON,Brandon Aiyuk,WR,221.916869236
JOSHJACOBS,JACOBS,JOSH,Josh Jacobs,RB,210.740657692
DJMOORE,MOORE,DJ,DJ Moore,WR,223.814894879
JAYLENWADDLE,WADDLE,JAYLEN,Jaylen Waddle,WR,218.819054524
DEVONTASMITH,SMITH,DEVONTA,DeVonta Smith,WR,225.50869387600002
JALENHURTS,HURTS,JALEN,Jalen Hurts,QB,314.950979436
KENNETHWALKER,WALKER,KENNETH,Kenneth Walker III,RB,210.551642078
COOPERKUPP,KUPP,COOPER,Cooper Kupp,WR,218.746226644
PATRICKMAHOMES,MAHOMES,PATRICK,Patrick Mahomes,QB,307.179147192
ANTHONYRICHARDSON,RICHARDSON,ANTHONY,Anthony Richardson,QB,273.184852744
DEEBOSAMUEL,SAMUEL,DEEBO,Deebo Samuel Sr.,WR,220.66065160600004
MARKANDREWS,ANDREWS,MARK,Mark Andrews,TE,197.810535138
LAMARJACKSON,JACKSON,LAMAR,Lamar Jackson,QB,304.686665636
MALIKNABERS,NABERS,MALIK,Malik Nabers,WR,213.704057886
RHAMONDRESTEVENSON,STEVENSON,RHAMONDRE,Rhamondre Stevenson,RB,193.814726072
ZAYFLOWERS,FLOWERS,ZAY,Zay Flowers,WR,217.017229813
TREYMCBRIDE,MCBRIDE,TREY,Trey McBride,TE,182.7324903
TANKDELL,DELL,TANK,Tank Dell,WR,209.623151413
AARONJONES,JONES,AARON,Aaron Jones,RB,194.57840793400004
CALVINRIDLEY,RIDLEY,CALVIN,Calvin Ridley,WR,218.08475738899998
TEEHIGGINS,HIGGINS,TEE,Tee Higgins,WR,216.164870674
C.J.STROUD,STROUD,C.J.,C.J. Stroud,QB,275.75579446800003
GEORGEPICKENS,PICKENS,GEORGE,George Pickens,WR,201.12815348
JONATHONBROOKS,BROOKS,JONATHON,Jonathon Brooks,RB,192.768574074
DALTONKINCAID,KINCAID,DALTON,Dalton Kincaid,TE,170.827920834
CHRISGODWIN,GODWIN,CHRIS,Chris Godwin,WR,214.02397349000003
ZAMIRWHITE,WHITE,ZAMIR,Zamir White,RB,179.782226506
DAVIDMONTGOMERY,MONTGOMERY,DAVID,David Montgomery,RB,181.22359091
DANDRESWIFT,SWIFT,DANDRE,D'Andre Swift,RB,180.89875178800006
EVANENGRAM,ENGRAM,EVAN,Evan Engram,TE,182.82978228800002
KEENANALLEN,ALLEN,KEENAN,Keenan Allen,WR,202.382877977
JAMESCONNER,CONNER,JAMES,James Conner,RB,177.748029402
GEORGEKITTLE,KITTLE,GEORGE,George Kittle,TE,175.02098886200002
AMARICOOPER,COOPER,AMARI,Amari Cooper,WR,206.86150711
DAKPRESCOTT,PRESCOTT,DAK,Dak Prescott,QB,276.53486657800005
JOEBURROW,BURROW,JOE,Joe Burrow,QB,278.08501628199997
JAYLENWARREN,WARREN,JAYLEN,Jaylen Warren,RB,176.316823622
BRIANROBINSON,ROBINSON,BRIAN,Brian Robinson Jr.,RB,180.88573121000002
TERRYMCLAURIN,MCLAURIN,TERRY,Terry McLaurin,WR,190.439308358
KYLEPITTS,PITTS,KYLE,Kyle Pitts,TE,168.49345933200001
CHRISTIANKIRK,KIRK,CHRISTIAN,Christian Kirk,WR,194.810651504
RASHEERICE,RICE,RASHEE,Rashee Rice,WR,188.68275958840002
JAYDENREED,REED,JAYDEN,Jayden Reed,WR,180.89332218299998
DEANDREHOPKINS,HOPKINS,DEANDRE,DeAndre Hopkins,WR,208.25614733
DIONTAEJOHNSON,JOHNSON,DIONTAE,Diontae Johnson,WR,198.196366129
NAJEEHARRIS,HARRIS,NAJEE,Najee Harris,RB,175.64401241399997
JAVONTEWILLIAMS,WILLIAMS,JAVONTE,Javonte Williams,RB,173.86831606799998
TYJAESPEARS,SPEARS,TYJAE,Tyjae Spears,RB,171.235329822
KYLERMURRAY,MURRAY,KYLER,Kyler Murray,QB,263.59990635799994
CHRISTIANWATSON,WATSON,CHRISTIAN,Christian Watson,WR,189.427311862
MARQUISEBROWN,BROWN,MARQUISE,Marquise Brown,WR,175.59858615500002
JORDANADDISON,ADDISON,JORDAN,Jordan Addison,WR,190.79988720600002
ZACKMOSS,MOSS,ZACK,Zack Moss,RB,172.54216536200002
TONYPOLLARD,POLLARD,TONY,Tony Pollard,RB,162.87651102599995
DAVIDNJOKU,NJOKU,DAVID,David Njoku,TE,178.68240839800004
AUSTINEKELER,EKELER,AUSTIN,Austin Ekeler,RB,170.34833324400003
EZEKIELELLIOTT,ELLIOTT,EZEKIEL,Ezekiel Elliott,RB,172.441847982
JAXONSMITHNJIGBA,SMITHNJIGBA,JAXON,Jaxon Smith-Njigba,WR,182.43481515800005
ROMEODUNZE,ODUNZE,ROME,Rome Odunze,WR,175.40564598
JAKEFERGUSON,FERGUSON,JAKE,Jake Ferguson,TE,165.56159713800002
LADDMCCONKEY,MCCONKEY,LADD,Ladd McConkey,WR,173.71033293300002
COURTLANDSUTTON,SUTTON,COURTLAND,Courtland Sutton,WR,188.98459435400002
DEVINSINGLETARY,SINGLETARY,DEVIN,Devin Singletary,RB,166.66569284800002
RAHEEMMOSTERT,MOSTERT,RAHEEM,Raheem Mostert,RB,169.65062874799997
KEONCOLEMAN,COLEMAN,KEON,Keon Coleman,WR,169.61753049800004
JORDANLOVE,LOVE,JORDAN,Jordan Love,QB,258.161640948
BLAKECORUM,CORUM,BLAKE,Blake Corum,RB,102.33395997200002
TYLERLOCKETT,LOCKETT,TYLER,Tyler Lockett,WR,181.90315282000003
NICKCHUBB,CHUBB,NICK,Nick Chubb,RB,162.827929678
JAMESONWILLIAMS,WILLIAMS,JAMESON,Jameson Williams,WR,162.03796094600003
XAVIERWORTHY,WORTHY,XAVIER,Xavier Worthy,WR,174.79196760000002
MIKEWILLIAMS,WILLIAMS,MIKE,Mike Williams,WR,178.657578848
GUSEDWARDS,EDWARDS,GUS,Gus Edwards,RB,143.26782064800003
TREYBENSON,BENSON,TREY,Trey Benson,RB,109.20481636000002
ZACHCHARBONNET,CHARBONNET,ZACH,Zach Charbonnet,RB,136.927335354
BRIANTHOMAS,THOMAS,BRIAN,Brian Thomas Jr.,WR,171.27964736200002
JEROMEFORD,FORD,JEROME,Jerome Ford,RB,115.50050329400001
JAYDENDANIELS,DANIELS,JAYDEN,Jayden Daniels,QB,258.383914212
JERRYJEUDY,JEUDY,JERRY,Jerry Jeudy,WR,174.40407674800002
J.K.DOBBINS,DOBBINS,J.K.,J.K. Dobbins,RB,166.27133123400006
CHASEBROWN,BROWN,CHASE,Chase Brown,RB,132.966092924
T.J.HOCKENSON,HOCKENSON,T.J.,T.J. Hockenson,TE,142.219450582
RASHIDSHAHEED,SHAHEED,RASHID,Rashid Shaheed,WR,159.09541368200004
DARNELLMOONEY,MOONEY,DARNELL,Darnell Mooney,WR,175.37855511000004
TYLERALLGEIER,ALLGEIER,TYLER,Tyler Allgeier,RB,143.60981024199998
KENDREMILLER,MILLER,KENDRE,Kendre Miller,RB,103.917476934
BROCKBOWERS,BOWERS,BROCK,Brock Bowers,TE,144.00580345
JAKOBIMEYERS,MEYERS,JAKOBI,Jakobi Meyers,WR,174.8112835904
CURTISSAMUEL,SAMUEL,CURTIS,Curtis Samuel,WR,165.38084838
ANTONIOGIBSON,GIBSON,ANTONIO,Antonio Gibson,RB,142.384498584
AARONRODGERS,RODGERS,AARON,Aaron Rodgers,QB,265.563674486
MARSHAWNLLOYD,LLOYD,MARSHAWN,MarShawn Lloyd,RB,93.84013816800001
BROWNS,BROWNS,BROWNS,Browns D/ST,DEF,140.92786510599996
XAVIERLEGETTE,LEGETTE,XAVIER,Xavier Legette,WR,156.300507754
DEMARIODOUGLAS,DOUGLAS,DEMARIO,DeMario Douglas,WR,155.17282071699998
KHALILSHAKIR,SHAKIR,KHALIL,Khalil Shakir,WR,143.698937986
CALEBWILLIAMS,WILLIAMS,CALEB,Caleb Williams,QB,252.05305699600004
TYCHANDLER,CHANDLER,TY,Ty Chandler,RB,137.515155038
49ERS,49ERS,49ERS,49ers D/ST,DEF,126.13014975799997
DALLASGOEDERT,GOEDERT,DALLAS,Dallas Goedert,TE,152.165605334
BRANDONAUBREY,AUBREY,BRANDON,Brandon Aubrey,K,142.076239604
RAVENS,RAVENS,RAVENS,Ravens D/ST,DEF,131.74752413500002
ADONAIMITCHELL,MITCHELL,ADONAI,Adonai Mitchell,WR,130.021442312
JUSTINTUCKER,TUCKER,JUSTIN,Justin Tucker,K,142.376444632
COWBOYS,COWBOYS,COWBOYS,Cowboys D/ST,DEF,130.879611312
BROCKPURDY,PURDY,BROCK,Brock Purdy,QB,259.19365113
ROMEODOUBS,DOUBS,ROMEO,Romeo Doubs,WR,155.195638812
JETS,JETS,JETS,Jets D/ST,DEF,129.88254941600002
STEELERS,STEELERS,STEELERS,Steelers D/ST,DEF,128.393721059
JALEELMCLAUGHLIN,MCLAUGHLIN,JALEEL,Jaleel McLaughlin,RB,113.912838042
JAKEELLIOTT,ELLIOTT,JAKE,Jake Elliott,K,143.525842614
MARVINMIMS,MIMS,MARVIN,Marvin Mims Jr.,WR,142.461346102
RICODOWDLE,DOWDLE,RICO,Rico Dowdle,RB,114.34193469599998
GABEDAVIS,DAVIS,GABE,Gabe Davis,WR,170.489542246
KAIMIFAIRBAIRN,FAIRBAIRN,KAIMI,Ka'imi Fairbairn,K,140.41384027700002
KIRKCOUSINS,COUSINS,KIRK,Kirk Cousins,QB,252.25909837199998
ADAMTHIELEN,THIELEN,ADAM,Adam Thielen,WR,171.37531075
HARRISONBUTKER,BUTKER,HARRISON,Harrison Butker,K,146.365108915
KENDRICKBOURNE,BOURNE,KENDRICK,Kendrick Bourne,WR,145.40081802
LIONS,LIONS,LIONS,Lions D/ST,DEF,111.64253092300004
EVANMCPHERSON,MCPHERSON,EVAN,Evan McPherson,K,138.713375742
JAYLENWRIGHT,WRIGHT,JAYLEN,Jaylen Wright,RB,55.538768852000004
YOUNGHOEKOO,KOO,YOUNGHOE,Younghoe Koo,K,137.109941316
GREGZUERLEIN,ZUERLEIN,GREG,Greg Zuerlein,K,140.800522135
BRANDINCOOKS,COOKS,BRANDIN,Brandin Cooks,WR,155.36235381100002
SAINTS,SAINTS,SAINTS,Saints D/ST,DEF,114.38264849300003
DOLPHINS,DOLPHINS,DOLPHINS,Dolphins D/ST,DEF,117.07561028600001
JALENTOLBERT,TOLBERT,JALEN,Jalen Tolbert,WR,120.759072038
JAHANDOTSON,DOTSON,JAHAN,Jahan Dotson,WR,125.100056352
TYRONETRACY,TRACY,TYRONE,Tyrone Tracy Jr.,RB,59.976852601000004
JAKEMOODY,MOODY,JAKE,Jake Moody,K,138.655316524
CHIEFS,CHIEFS,CHIEFS,Chiefs D/ST,DEF,106.61095067699999
DALTONSCHULTZ,SCHULTZ,DALTON,Dalton Schultz,TE,132.14619582400002
ALEXANDERMATTISON,MATTISON,ALEXANDER,Alexander Mattison,RB,91.195636006
DESHAUNWATSON,WATSON,DESHAUN,Deshaun Watson,QB,258.117635538
COLEKMET,KMET,COLE,Cole Kmet,TE,132.9251602237
DONTAYVIONWICKS,WICKS,DONTAYVION,Dontayvion Wicks,WR,95.36954703800001
PATFREIERMUTH,FREIERMUTH,PAT,Pat Freiermuth,TE,138.660462522
JOSHDOWNS,DOWNS,JOSH,Josh Downs,WR,126.504384702
BILLS,BILLS,BILLS,Bills D/ST,DEF,93.46583782899997
JUSTINHERBERT,HERBERT,JUSTIN,Justin Herbert,QB,252.27110862800004
JAGUARS,JAGUARS,JAGUARS,Jaguars D/ST,DEF,118.314222299
