name,position,proj
Christian McCaffrey,RB,280.6
Breece Hall,RB,245.5
Saquon Barkley,RB,236.9
Bijan Robinson,RB,225.0
Kyren Williams,RB,221.6
Jonathan Taylor,RB,220.7
Derrick Henry,RB,213.2
Joe Mixon,RB,194.5
Isiah Pacheco,RB,193.8
De'Von Achane,RB,190.3
Travis Etienne Jr.,RB,190.1
Josh Jacobs,RB,188.4
James Cook,RB,186.1
Jahmyr Gibbs,RB,184.4
Rachaad White,RB,183.4
Kenneth Walker III,RB,182.4
Alvin Kamara,RB,181.8
Raheem Mostert,RB,169.4
Aaron Jones,RB,168.3
David Montgomery,RB,165.6
James Conner,RB,164.3
Nick Chubb,RB,157.0
Najee Harris,RB,156.6
Brian Robinson Jr.,RB,151.7
D'Andre Swift,RB,149.1
Zack Moss,RB,146.6
Jonathon Brooks,RB,143.7
Zamir White,RB,143.7
Austin Ekeler,RB,141.5
J.K. Dobbins,RB,140.0
Tony Pollard,RB,138.3
Rhamondre Stevenson,RB,136.9
Gus Edwards,RB,132.4
Javonte Williams,RB,132.2
Devin Singletary,RB,131.8
Ezekiel Elliott,RB,130.6
Jaylen Warren,RB,126.4
Chase Brown,RB,118.0
Tyjae Spears,RB,116.8
Tyler Allgeier,RB,114.9
Antonio Gibson,RB,108.8
Ty Chandler,RB,107.3
Trey Benson,RB,104.6
Jerome Ford,RB,103.8
Blake Corum,RB,95.0
Rico Dowdle,RB,94.4
Clyde Edwards-Helaire,RB,89.3
Jaleel McLaughlin,RB,88.4
Zach Charbonnet,RB,87.1
Chuba Hubbard,RB,85.5
D'Onta Foreman,RB,85.0
Khalil Herbert,RB,81.0
Jaylen Wright,RB,77.7
Braelon Allen,RB,74.0
MarShawn Lloyd,RB,72.4
Bucky Irving,RB,72.0
Kenneth Gainwell,RB,70.7
Samaje Perine,RB,69.8
Alexander Mattison,RB,67.8
Roschon Johnson,RB,67.0
Elijah Mitchell,RB,66.7
Miles Sanders,RB,65.0
Keaton Mitchell,RB,63.6
Tyrone Tracy Jr.,RB,63.4
Justice Hill,RB,62.7
Kendre Miller,RB,60.9
Jamaal Williams,RB,59.1
Chase Edmonds,RB,53.1
Tank Bigsby,RB,52.5
Trey Sermon,RB,51.2
AJ Dillon,RB,47.6
Eric Gray,RB,47.2
Isaiah Davis,RB,46.0
Dameon Pierce,RB,44.9
Ty Johnson,RB,44.4
Ray Davis,RB,43.0
D'Ernest Johnson,RB,39.2
Ameer Abdullah,RB,34.3
Audric Estime,RB,34.2
Trayveon Williams,RB,31.5
Kyle Juszczyk,RB,31.2
Deuce Vaughn,RB,30.8
Emari Demercado,RB,30.7
Andrew Beck,RB,29.3
Nyheim Hines,RB,29.1
Michael Carter,RB,29.1
Kendall Milton,RB,28.6
Will Shipley,RB,28.4
Jordan Mason,RB,28.3
Jeremy McNichols,RB,28.3
Chris Rodriguez Jr.,RB,26.9
Evan Hull,RB,26.6
Tyler Goodson,RB,26.2
Craig Reynolds,RB,25.7
Ronnie Rivers,RB,25.5
Cordarrelle Patterson,RB,25.3
Isaiah Spiller,RB,25.1
Pierre Strong Jr.,RB,24.1
Rasheen Ali,RB,24.0
Kenny McIntosh,RB,23.9
Jase McClellan,RB,23.7
Cody Schrader,RB,23.3
Julius Chestnut,RB,23.0
Nick Bawden,RB,22.1
Isaac Guerendo,RB,22.1
Hunter Luepke,RB,20.6
Royce Freeman,RB,20.1
Kevin Harris,RB,19.4
Israel Abanikanda,RB,19.1
Jeff Wilson Jr.,RB,17.0
Keaontay Ingram,RB,16.6
Dylan Laube,RB,15.5
Zander Horvath,RB,14.5
Myles Gaskin,RB,13.4
Chris Evans,RB,12.8
Alec Ingold,RB,12.1
Sean Tucker,RB,10.6
Rashaad Penny,RB,9.8
Deneric Prince,RB,8.6
Darrynton Evans,RB,8.6
Kene Nwangwu,RB,8.3
Kimani Vidal,RB,8.2
Michael Burton,RB,8.1
Dante Miller,RB,7.9
JaMycal Hasty,RB,7.5
Avery Williams,RB,6.7
Adam Prentice,RB,6.5
Travis Homer,RB,6.0
Jalen Hurts,QB,351.9
Josh Allen,QB,349.3
Patrick Mahomes II,QB,328.6
Lamar Jackson,QB,324.7
Dak Prescott,QB,303.7
Joe Burrow,QB,300.3
C.J. Stroud,QB,296.6
Jordan Love,QB,294.0
Anthony Richardson,QB,292.0
Kyler Murray,QB,291.1
Brock Purdy,QB,290.8
Jayden Daniels,QB,287.2
Justin Herbert,QB,286.2
Trevor Lawrence,QB,282.3
Caleb Williams,QB,279.1
Deshaun Watson,QB,273.7
Kirk Cousins,QB,273.1
Baker Mayfield,QB,267.7
Jared Goff,QB,266.6
Tua Tagovailoa,QB,262.2
Aaron Rodgers,QB,260.2
Matthew Stafford,QB,259.0
Geno Smith,QB,256.1
Derek Carr,QB,253.2
Daniel Jones,QB,248.6
Will Levis,QB,227.9
J.J. McCarthy,QB,223.5
Bryce Young,QB,222.7
Russell Wilson,QB,215.2
Bo Nix,QB,201.7
Drake Maye,QB,184.7
Gardner Minshew II,QB,148.4
Aidan O'Connell,QB,85.0
Taysom Hill,QB,76.1
Justin Fields,QB,62.3
Sam Darnold,QB,57.0
Jacoby Brissett,QB,52.4
Jarrett Stidham,QB,45.3
Sean Clifford,QB,33.7
Case Keenum,QB,33.7
Hendon Hooker,QB,31.9
Sam Howell,QB,31.5
Mason Rudolph,QB,29.6
Nathan Peterman,QB,29.2
Drew Lock,QB,28.6
Jake Browning,QB,25.1
Carson Wentz,QB,24.7
Mitchell Trubisky,QB,24.2
Joshua Dobbs,QB,23.9
Cooper Rush,QB,22.9
Marcus Mariota,QB,22.7
Jimmy Garoppolo,QB,22.7
Tyson Bagent,QB,22.6
Josh Johnson,QB,22.5
Tyrod Taylor,QB,22.4
Kenny Pickett,QB,22.4
Mac Jones,QB,21.8
Easton Stick,QB,21.6
Michael Penix Jr.,QB,21.4
Jameis Winston,QB,20.7
Kyle Trask,QB,20.7
Andy Dalton,QB,20.6
Desmond Ridder,QB,20.3
Mike White,QB,19.2
Joe Flacco,QB,18.1
Davis Mills,QB,11.6
Trey Lance,QB,11.2
Gavin Hardison,QB,10.1
Michael Pratt,QB,9.6
Spencer Rattler,QB,9.6
Carter Bradley,QB,8.9
Nathan Rourke,QB,8.6
Malik Cunningham,QB,0.5
CeeDee Lamb,WR,220.9
Tyreek Hill,WR,205.2
Ja'Marr Chase,WR,188.6
Amon-Ra St. Brown,WR,188.2
Justin Jefferson,WR,187.6
Puka Nacua,WR,181.7
A.J. Brown,WR,179.5
Nico Collins,WR,169.8
Deebo Samuel Sr.,WR,168.2
Mike Evans,WR,167.7
Garrett Wilson,WR,164.8
Davante Adams,WR,161.6
Tank Dell,WR,160.7
Chris Olave,WR,160.4
DK Metcalf,WR,159.3
Marvin Harrison Jr.,WR,158.8
DJ Moore,WR,158.7
Tee Higgins,WR,157.2
Brandon Aiyuk,WR,156.4
Drake London,WR,149.1
DeVonta Smith,WR,148.0
Amari Cooper,WR,147.4
Hollywood Brown,WR,146.6
Stefon Diggs,WR,145.4
Calvin Ridley,WR,144.7
Cooper Kupp,WR,143.5
Zay Flowers,WR,142.7
Jaylen Waddle,WR,142.0
George Pickens,WR,138.2
DeAndre Hopkins,WR,135.1
Jayden Reed,WR,133.3
Michael Pittman Jr.,WR,132.9
Chris Godwin,WR,131.9
Christian Watson,WR,131.7
Terry McLaurin,WR,131.0
Malik Nabers,WR,129.2
Diontae Johnson,WR,129.2
Courtland Sutton,WR,128.6
Jordan Addison,WR,128.5
Keenan Allen,WR,125.7
Christian Kirk,WR,123.1
Xavier Worthy,WR,122.1
Mike Williams,WR,119.2
Tyler Lockett,WR,118.2
Rashid Shaheed,WR,116.6
Ladd McConkey,WR,115.8
Jerry Jeudy,WR,113.6
Brian Thomas Jr.,WR,112.4
Gabe Davis,WR,111.9
Jakobi Meyers,WR,110.9
Romeo Doubs,WR,110.6
Keon Coleman,WR,109.7
Rome Odunze,WR,109.7
Rashee Rice,WR,109.4
Jameson Williams,WR,108.2
Jaxon Smith-Njigba,WR,107.9
Brandin Cooks,WR,107.8
Kendrick Bourne,WR,102.6
Curtis Samuel,WR,102.0
DeMario Douglas,WR,100.0
Darnell Mooney,WR,98.8
Adam Thielen,WR,98.5
Khalil Shakir,WR,98.4
DJ Chark Jr.,WR,93.4
Demarcus Robinson,WR,91.4
Darius Slayton,WR,89.5
Adonai Mitchell,WR,88.7
Wan'Dale Robinson,WR,88.4
Jahan Dotson,WR,87.7
Joshua Palmer,WR,86.6
Xavier Legette,WR,85.8
Michael Wilson,WR,85.7
Marvin Mims Jr.,WR,85.6
Quentin Johnston,WR,84.8
Jermaine Burton,WR,82.5
Rashod Bateman,WR,81.9
Josh Downs,WR,81.0
Odell Beckham Jr.,WR,78.2
Jalen Tolbert,WR,77.2
Tim Patrick,WR,76.1
Dontayvion Wicks,WR,75.6
Zay Jones,WR,75.3
Rondale Moore,WR,74.0
Brandon Johnson,WR,73.5
Noah Brown,WR,72.4
Ja'Lynn Polk,WR,71.8
Elijah Moore,WR,71.5
Trey Palmer,WR,68.4
Jalin Hyatt,WR,68.4
Tyler Boyd,WR,68.2
Malachi Corley,WR,68.1
Robert Woods,WR,67.3
Roman Wilson,WR,66.3
Ricky Pearsall,WR,65.1
Marquez Callaway,WR,65.0
Josh Reynolds,WR,63.2
KaVontae Turpin,WR,61.1
Jalen McMillan,WR,60.3
A.T. Perry,WR,59.7
Luke McCaffrey,WR,57.4
Nelson Agholor,WR,51.7
Van Jefferson,WR,51.6
Jonathan Mingo,WR,51.2
Troy Franklin,WR,51.1
Greg Dortch,WR,51.1
Kalif Raymond,WR,50.1
Cedrick Wilson Jr.,WR,49.1
Trenton Irwin,WR,45.8
Alec Pierce,WR,43.1
Michael Gallup,WR,39.3
Andrei Iosivas,WR,36.8
Tutu Atwell,WR,36.4
Calvin Austin III,WR,36.2
Jamison Crowder,WR,34.8
Devontez Walker,WR,32.2
Justin Watson,WR,32.0
KhaDarel Hodge,WR,31.6
Treylon Burks,WR,31.1
Bub Means,WR,30.4
Tre Tucker,WR,30.4
Jake Bobo,WR,29.9
Xavier Gipson,WR,29.6
Brandon Powell,WR,27.9
Jauan Jennings,WR,26.1
Derius Davis,WR,25.9
Marquez Valdes-Scantling,WR,25.9
Parris Campbell,WR,22.0
Cedric Tillman,WR,21.0
Ryan Flournoy,WR,19.2
Jason Brownlee,WR,18.7
Malik Washington,WR,18.5
Bo Melton,WR,17.7
Trent Sherfield Sr.,WR,17.1
Devin Duvernay,WR,16.8
Tyler Johnson,WR,16.7
Skyy Moore,WR,16.4
Allen Robinson II,WR,16.4
Dyami Brown,WR,16.1
Ainias Smith,WR,15.8
JuJu Smith-Schuster,WR,15.8
Ray-Ray McCloud III,WR,15.8
David Moore,WR,15.7
Javon Baker,WR,14.7
Kadarius Toney,WR,14.7
K.J. Osborn,WR,13.7
Donovan Peoples-Jones,WR,13.6
Laviska Shenault Jr.,WR,13.1
Jordan Whittington,WR,11.5
Mack Hollins,WR,11.4
Tyler Scott,WR,11.2
Johnny Wilson,WR,10.4
Isaiah McKenzie,WR,9.9
Quez Watkins,WR,9.7
Jalen Nailor,WR,9.2
Anthony Gould,WR,8.9
Ihmir Smith-Marsette,WR,8.9
David Bell,WR,8.7
John Metchie III,WR,8.6
Rakim Jarrett,WR,8.3
Nick Westbrook-Ikhine,WR,8.2
Braxton Berrios,WR,7.3
Jalen Reagor,WR,6.6
Jalen Brooks,WR,6.2
Casey Washington,WR,6.0
Charlie Jones,WR,5.7
Dee Eskridge,WR,5.2
Deonte Harty,WR,4.7
Dallas Cowboys,DEF,122.8
Baltimore Ravens,DEF,122.4
Buffalo Bills,DEF,121.0
Indianapolis Colts,DEF,120.7
Cleveland Browns,DEF,120.3
New York Jets,DEF,120.2
Houston Texans,DEF,120.1
Philadelphia Eagles,DEF,119.3
Cincinnati Bengals,DEF,117.6
Pittsburgh Steelers,DEF,115.9
Miami Dolphins,DEF,115.1
Los Angeles Chargers,DEF,114.3
Kansas City Chiefs,DEF,113.0
New Orleans Saints,DEF,112.2
Washington Commanders,DEF,111.6
New York Giants,DEF,111.6
San Francisco 49ers,DEF,111.0
Jacksonville Jaguars,DEF,110.8
Green Bay Packers,DEF,110.6
Detroit Lions,DEF,109.6
Seattle Seahawks,DEF,109.4
Tampa Bay Buccaneers,DEF,109.2
Denver Broncos,DEF,108.4
Minnesota Vikings,DEF,106.7
Las Vegas Raiders,DEF,106.7
Atlanta Falcons,DEF,104.4
Chicago Bears,DEF,104.2
New England Patriots,DEF,103.0
Tennessee Titans,DEF,103.0
Los Angeles Rams,DEF,100.9
Arizona Cardinals,DEF,100.7
Carolina Panthers,DEF,98.2
Travis Kelce,TE,143.4
Mark Andrews,TE,139.9
Sam LaPorta,TE,131.8
George Kittle,TE,122.8
David Njoku,TE,117.3
Kyle Pitts,TE,112.9
Trey McBride,TE,109.6
Jake Ferguson,TE,109.1
T.J. Hockenson,TE,101.6
Cole Kmet,TE,100.9
Dalton Kincaid,TE,100.2
Evan Engram,TE,98.6
Dallas Goedert,TE,96.8
Dalton Schultz,TE,89.0
Brock Bowers,TE,85.8
Pat Freiermuth,TE,82.6
Hunter Henry,TE,77.4
Tyler Conklin,TE,77.2
Juwan Johnson,TE,77.0
Isaiah Likely,TE,72.3
Cade Otton,TE,68.9
Chigoziem Okonkwo,TE,67.3
Luke Musgrave,TE,65.0
Jonnu Smith,TE,62.7
Hayden Hurst,TE,57.5
Dawson Knox,TE,57.0
Ben Sinnott,TE,56.9
Tyler Higbee,TE,56.4
Mike Gesicki,TE,55.2
Noah Fant,TE,55.0
Tucker Kraft,TE,53.6
Greg Dulcich,TE,50.2
Michael Mayer,TE,48.8
Gerald Everett,TE,46.4
Brevin Jordan,TE,44.1
Tommy Tremble,TE,43.5
Zach Ertz,TE,43.4
Jelani Woods,TE,42.5
Noah Gray,TE,41.9
Taysom Hill,TE,39.6
