name,last_name,first_name,display,position,proj
JOSHALLEN,ALLEN,JOSH,Josh Allen,QB,342.4
JALENHURTS,HURTS,JALEN,Jalen Hurts,QB,338.66
CHRISTIANMCCAFFREY,MCCAFFREY,CHRISTIAN,Christian McCaffrey,RB,330.6
TYREEKHILL,HILL,TYREEK,Tyreek Hill,WR,327.4
CEEDEELAMB,LAMB,CEEDEE,CeeDee Lamb,WR,325.9
LAMARJACKSON,JACKSON,LAMAR,Lamar Jackson,QB,324.74
PATRICKMAHOMES,MAHOMES,PATRICK,Patrick Mahomes,QB,323.04
ANTHONYRICHARDSON,RICHARDSON,ANTHONY,Anthony Richardson,QB,311.96
C.J.STROUD,STROUD,C.J.,C.J. Stroud,QB,308.18
KYLERMURRAY,MURRAY,KYLER,Kyler Murray,QB,296.8
JOEBURROW,BURROW,JOE,Joe Burrow,QB,291.48
JAMARRCHASE,CHASE,JAMARR,Ja'Marr Chase,WR,289.3
JUSTINJEFFERSON,JEFFERSON,JUSTIN,Justin Jefferson,WR,288.9
DAKPRESCOTT,PRESCOTT,DAK,Dak Prescott,QB,287.32
BROCKPURDY,PURDY,BROCK,Brock Purdy,QB,285.54
AMONRAST.BROWN,BROWN,AMONRAST.,Amon-Ra St. Brown,WR,283.1
BREECEHALL,HALL,BREECE,Breece Hall,RB,280.2
JORDANLOVE,LOVE,JORDAN,Jordan Love,QB,278.68
JUSTINHERBERT,HERBERT,JUSTIN,Justin Herbert,QB,273.78
GARRETTWILSON,WILSON,GARRETT,Garrett Wilson,WR,273.7
TREVORLAWRENCE,LAWRENCE,TREVOR,Trevor Lawrence,QB,272.08
JAYDENDANIELS,DANIELS,JAYDEN,Jayden Daniels,QB,271.18
A.J.BROWN,BROWN,A.J.,A.J. Brown,WR,270.7
JAREDGOFF,GOFF,JARED,Jared Goff,QB,267.98
CALEBWILLIAMS,WILLIAMS,CALEB,Caleb Williams,QB,267.68
PUKANACUA,NACUA,PUKA,Puka Nacua,WR,263.8
TUATAGOVAILOA,TAGOVAILOA,TUA,Tua Tagovailoa,QB,263.46
BIJANROBINSON,ROBINSON,BIJAN,Bijan Robinson,RB,262.2
MATTHEWSTAFFORD,STAFFORD,MATTHEW,Matthew Stafford,QB,258.2
AARONRODGERS,RODGERS,AARON,Aaron Rodgers,QB,255.48
DESHAUNWATSON,WATSON,DESHAUN,Deshaun Watson,QB,254.42
BAKERMAYFIELD,MAYFIELD,BAKER,Baker Mayfield,QB,250.52
KIRKCOUSINS,COUSINS,KIRK,Kirk Cousins,QB,247.1
GENOSMITH,SMITH,GENO,Geno Smith,QB,245.62
WILLLEVIS,LEVIS,WILL,Will Levis,QB,244.7
SAQUONBARKLEY,BARKLEY,SAQUON,Saquon Barkley,RB,242.8
JONATHANTAYLOR,TAYLOR,JONATHAN,Jonathan Taylor,RB,240.8
CHRISOLAVE,OLAVE,CHRIS,Chris Olave,WR,240.1
SAMDARNOLD,DARNOLD,SAM,Sam Darnold,QB,239.48
DRAKELONDON,LONDON,DRAKE,Drake London,WR,239.2
ISIAHPACHECO,PACHECO,ISIAH,Isiah Pacheco,RB,237.9
MARVINHARRISON,HARRISON,MARVIN,Marvin Harrison Jr.,WR,235.8
COOPERKUPP,KUPP,COOPER,Cooper Kupp,WR,235.7
DAVANTEADAMS,ADAMS,DAVANTE,Davante Adams,WR,234.2
JAHMYRGIBBS,GIBBS,JAHMYR,Jahmyr Gibbs,RB,233.2
JAYLENWADDLE,WADDLE,JAYLEN,Jaylen Waddle,WR,232.0
DRAKEMAYE,MAYE,DRAKE,Drake Maye,QB,231.54
NICOCOLLINS,COLLINS,NICO,Nico Collins,WR,231.1
MIKEEVANS,EVANS,MIKE,Mike Evans,WR,230.3
DEEBOSAMUEL,SAMUEL,DEEBO,Deebo Samuel Sr.,WR,228.3
BRANDONAIYUK,AIYUK,BRANDON,Brandon Aiyuk,WR,227.8
DEVONTASMITH,SMITH,DEVONTA,DeVonta Smith,WR,227.8
DKMETCALF,METCALF,DK,DK Metcalf,WR,226.4
STEFONDIGGS,DIGGS,STEFON,Stefon Diggs,WR,226.1
TRAVISETIENNE,ETIENNE,TRAVIS,Travis Etienne,RB,226.0
DEVONACHANE,ACHANE,DEVON,De'Von Achane,RB,225.9
AMARICOOPER,COOPER,AMARI,Amari Cooper,WR,225.7
DJMOORE,MOORE,DJ,DJ Moore,WR,224.8
KYRENWILLIAMS,WILLIAMS,KYREN,Kyren Williams,RB,224.5
BONIX,NIX,BO,Bo Nix,QB,221.2
DERRICKHENRY,HENRY,DERRICK,Derrick Henry,RB,219.7
RACHAADWHITE,WHITE,RACHAAD,Rachaad White,RB,219.6
DEREKCARR,CARR,DEREK,Derek Carr,QB,218.8
TANKDELL,DELL,TANK,Tank Dell,WR,218.2
CHRISTIANKIRK,KIRK,CHRISTIAN,Christian Kirk,WR,217.3
TEEHIGGINS,HIGGINS,TEE,Tee Higgins,WR,216.9
JOSHJACOBS,JACOBS,JOSH,Josh Jacobs,RB,216.4
DANIELJONES,JONES,DANIEL,Daniel Jones,QB,216.32
CHRISGODWIN,GODWIN,CHRIS,Chris Godwin,WR,215.6
BRYCEYOUNG,YOUNG,BRYCE,Bryce Young,QB,215.14
MIKEPITTMAN,PITTMAN,MIKE,Michael Pittman,WR,215.0
MALIKNABERS,NABERS,MALIK,Malik Nabers,WR,214.6
ZAYFLOWERS,FLOWERS,ZAY,Zay Flowers,WR,213.3
GEORGEPICKENS,PICKENS,GEORGE,George Pickens,WR,213.2
KEENANALLEN,ALLEN,KEENAN,Keenan Allen,WR,212.4
RASHEERICE,RICE,RASHEE,Rashee Rice,WR,211.6
CALVINRIDLEY,RIDLEY,CALVIN,Calvin Ridley,WR,207.3
ALVINKAMARA,KAMARA,ALVIN,Alvin Kamara,RB,205.9
TRAVISKELCE,KELCE,TRAVIS,Travis Kelce,TE,205.1
SAMLAPORTA,LAPORTA,SAM,Sam LaPorta,TE,204.9
RUSSELLWILSON,WILSON,RUSSELL,Russell Wilson,QB,203.88
TERRYMCLAURIN,MCLAURIN,TERRY,Terry McLaurin,WR,203.4
ROMEODUNZE,ODUNZE,ROME,Rome Odunze,WR,201.8
JAMESCOOK,COOK,JAMES,James Cook,RB,201.7
JAYDENREED,REED,JAYDEN,Jayden Reed,WR,201.2
JORDANADDISON,ADDISON,JORDAN,Jordan Addison,WR,200.9
JOEMIXON,MIXON,JOE,Joe Mixon,RB,199.8
AARONJONES,JONES,AARON,Aaron Jones,RB,197.2
MARKANDREWS,ANDREWS,MARK,Mark Andrews,TE,194.4
KENNETHWALKER,WALKER,KENNETH,Kenneth Walker III,RB,193.5
JAMESCONNER,CONNER,JAMES,James Conner,RB,191.8
TREYMCBRIDE,MCBRIDE,TREY,Trey McBride,TE,190.0
GEORGEKITTLE,KITTLE,GEORGE,George Kittle,TE,188.3
XAVIERWORTHY,WORTHY,XAVIER,Xavier Worthy,WR,188.0
DAVIDMONTGOMERY,MONTGOMERY,DAVID,David Montgomery,RB,187.3
NAJEEHARRIS,HARRIS,NAJEE,Najee Harris,RB,186.8
DALTONKINCAID,KINCAID,DALTON,Dalton Kincaid,TE,186.5
RHAMONDRESTEVENSON,STEVENSON,RHAMONDRE,Rhamondre Stevenson,RB,186.3
DANDRESWIFT,SWIFT,DANDRE,D'Andre Swift,RB,184.5
DIONTAEJOHNSON,JOHNSON,DIONTAE,Diontae Johnson,WR,183.0
DEVINSINGLETARY,SINGLETARY,DEVIN,Devin Singletary,RB,181.9
TONYPOLLARD,POLLARD,TONY,Tony Pollard,RB,180.8
JAYLENWARREN,WARREN,JAYLEN,Jaylen Warren,RB,179.8
LADDMCCONKEY,MCCONKEY,LADD,Ladd McConkey,WR,179.1
JAVONTEWILLIAMS,WILLIAMS,JAVONTE,Javonte Williams,RB,178.9
KYLEPITTS,PITTS,KYLE,Kyle Pitts,TE,177.9
COURTLANDSUTTON,SUTTON,COURTLAND,Courtland Sutton,WR,176.1
RAHEEMMOSTERT,MOSTERT,RAHEEM,Raheem Mostert,RB,174.5
GARDNERMINSHEW,MINSHEW,GARDNER,Gardner Minshew,QB,174.32
CURTISSAMUEL,SAMUEL,CURTIS,Curtis Samuel,WR,174.2
ZAMIRWHITE,WHITE,ZAMIR,Zamir White,RB,173.7
ZACKMOSS,MOSS,ZACK,Zack Moss,RB,172.9
TYJAESPEARS,SPEARS,TYJAE,Tyjae Spears,RB,171.6
JAXONSMITHNJIGBA,SMITHNJIGBA,JAXON,Jaxon Smith-Njigba,WR,170.8
MARQUISEBROWN,BROWN,MARQUISE,Marquise Brown,WR,170.6
CHRISTIANWATSON,WATSON,CHRISTIAN,Christian Watson,WR,170.1
DEANDREHOPKINS,HOPKINS,DEANDRE,DeAndre Hopkins,WR,169.5
JAMESONWILLIAMS,WILLIAMS,JAMESON,Jameson Williams,WR,169.4
TYLERLOCKETT,LOCKETT,TYLER,Tyler Lockett,WR,169.3
BRIANTHOMAS,THOMAS,BRIAN,Brian Thomas Jr.,WR,168.9
ROMEODOUBS,DOUBS,ROMEO,Romeo Doubs,WR,168.2
JOSHPALMER,PALMER,JOSH,Josh Palmer,WR,167.5
JAKEFERGUSON,FERGUSON,JAKE,Jake Ferguson,TE,167.1
JERRYJEUDY,JEUDY,JERRY,Jerry Jeudy,WR,166.0
EVANENGRAM,ENGRAM,EVAN,Evan Engram,TE,165.5
JONATHONBROOKS,BROOKS,JONATHON,Jonathon Brooks,RB,165.3
DAVIDNJOKU,NJOKU,DAVID,David Njoku,TE,165.1
AUSTINEKELER,EKELER,AUSTIN,Austin Ekeler,RB,164.6
GABEDAVIS,DAVIS,GABE,Gabe Davis,WR,164.3
BRIANROBINSON,ROBINSON,BRIAN,Brian Robinson,RB,164.1
KHALILSHAKIR,SHAKIR,KHALIL,Khalil Shakir,WR,164.1
BROCKBOWERS,BOWERS,BROCK,Brock Bowers,TE,163.3
DALLASGOEDERT,GOEDERT,DALLAS,Dallas Goedert,TE,163.2
GUSEDWARDS,EDWARDS,GUS,Gus Edwards,RB,159.9
ADAMTHIELEN,THIELEN,ADAM,Adam Thielen,WR,158.7
KEONCOLEMAN,COLEMAN,KEON,Keon Coleman,WR,158.4
DEMARIODOUGLAS,DOUGLAS,DEMARIO,Demario Douglas,WR,158.0
MIKEWILLIAMS,WILLIAMS,MIKE,Mike Williams,WR,156.7
CHASEBROWN,BROWN,CHASE,Chase Brown,RB,156.5
EZEKIELELLIOTT,ELLIOTT,EZEKIEL,Ezekiel Elliott,RB,156.2
RASHIDSHAHEED,SHAHEED,RASHID,Rashid Shaheed,WR,155.2
JAKOBIMEYERS,MEYERS,JAKOBI,Jakobi Meyers,WR,152.38
