name,last_name,first_name,display,position,proj
CHRISTIANMCCAFFREY,MCCAFFREY,CHRISTIAN,Christian McCaffrey,RB,332.543483726
JOSHALLEN,ALLEN,JOSH,Josh Allen,QB,326.97122634
JALENHURTS,HURTS,JALEN,Jalen Hurts,QB,326.932663197
CEEDEELAMB,LAMB,CEEDEE,CeeDee Lamb,WR,321.53429004599997
PATRICKMAHOMES,MAHOMES,PATRICK,Patrick Mahomes,QB,315.345042175
LAMARJACKSON,JACKSON,LAMAR,Lamar Jackson,QB,313.898535974
TYREEKHILL,HILL,TYREEK,Tyreek Hill,WR,312.586558851
ANTHONYRICHARDSON,RICHARDSON,ANTHONY,Anthony Richardson,QB,293.310215548
C.J.STROUD,STROUD,C.J.,C.J. Stroud,QB,292.011178815
JAMARRCHASE,CHASE,JAMARR,Ja'Marr Chase,WR,290.4048359275
JUSTINJEFFERSON,JEFFERSON,JUSTIN,Justin Jefferson,WR,286.1948213395
JOEBURROW,BURROW,JOE,Joe Burrow,QB,284.780600912
BREECEHALL,HALL,BREECE,Breece Hall,RB,284.09837855899997
AMONRAST.BROWN,BROWN,AMONRAST.,Amon-Ra St. Brown,WR,283.7353887075
DAKPRESCOTT,PRESCOTT,DAK,Dak Prescott,QB,282.01401841300003
KYLERMURRAY,MURRAY,KYLER,Kyler Murray,QB,280.21208744300003
BIJANROBINSON,ROBINSON,BIJAN,Bijan Robinson,RB,274.483221868
BROCKPURDY,PURDY,BROCK,Brock Purdy,QB,272.33204490900005
A.J.BROWN,BROWN,A.J.,A.J. Brown,WR,270.789244876
JORDANLOVE,LOVE,JORDAN,Jordan Love,QB,269.865929306
JAYDENDANIELS,DANIELS,JAYDEN,Jayden Daniels,QB,264.504235611
JUSTINHERBERT,HERBERT,JUSTIN,Justin Herbert,QB,263.08264174199996
GARRETTWILSON,WILSON,GARRETT,Garrett Wilson,WR,262.1578266995
PUKANACUA,NACUA,PUKA,Puka Nacua,WR,260.819210702
TREVORLAWRENCE,LAWRENCE,TREVOR,Trevor Lawrence,QB,260.04471584099997
CALEBWILLIAMS,WILLIAMS,CALEB,Caleb Williams,QB,259.925633789
AARONRODGERS,RODGERS,AARON,Aaron Rodgers,QB,259.703261231
DESHAUNWATSON,WATSON,DESHAUN,Deshaun Watson,QB,256.04961103299996
JAREDGOFF,GOFF,JARED,Jared Goff,QB,251.492061391
